original_text,text,method,num_sentences,num_boundaries,sentence_texts,fragments,boundary_at_end,tokens,labels,stanza_labels
نېگه۔دیر اۉپکهسی تۉلیب کۉزیگه یاش کېلدی: -رابعه، مېن طاهر مېن! طاهر! یوقاریدن رجوان نینگچینقیریغی اېشیتیلدی: - طاهر آغه! سۉنگ یشیل ردّرهلی رجوان چاچپاپوگینی شیلدیرهتیب، زینهپایهدن اۉزی چاپیب توشه باشلهدی.,نېگه دیر اۉپکهسی تۉلیب کۉزیگه یاش کېلدی رابعه مېن طاهر مېن طاهر یوقاریدن رجوان نینگچینقیریغی اېشیتیلدی طاهر آغه سۉنگ یشیل ردرهلی رجوان چاچپاپوگینی شیلدیرهتیب زینهپایهدن اۉزی چاپیب توشه باشلهدی,sequential,4,4,"[""نېگه۔دیر اۉپکهسی تۉلیب کۉزیگه یاش کېلدی: -رابعه، مېن طاهر مېن!"", ""طاهر!"", ""یوقاریدن رجوان نینگچینقیریغی اېشیتیلدی: - طاهر آغه!"", ""سۉنگ یشیل ردّرهلی رجوان چاچپاپوگینی شیلدیرهتیب، زینهپایهدن اۉزی چاپیب توشه باشلهدی.""]","[""نېگه۔دیر اۉپکهسی تۉلیب کۉزیگه یاش کېلدی: -رابعه، مېن طاهر مېن!"", ""طاهر!"", ""یوقاریدن رجوان نینگچینقیریغی اېشیتیلدی: - طاهر آغه!"", ""سۉنگ یشیل ردّرهلی رجوان چاچپاپوگینی شیلدیرهتیب، زینهپایهدن اۉزی چاپیب توشه باشلهدی.""]","[true, true, true, true]",نېگه دیر اۉپکهسی تۉلیب کۉزیگه یاش کېلدی رابعه مېن طاهر مېن طاهر یوقاریدن رجوان نینگچینقیریغی اېشیتیلدی طاهر آغه سۉنگ یشیل ردرهلی رجوان چاچپاپوگینی شیلدیرهتیب زینهپایهدن اۉزی چاپیب توشه باشلهدی,0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1,000100010000000100000100000010001000001000001000100001000200002000000001000001000000000000010000000001000010002000010000100000010000010000000000010000000000100000000001000010000010000100000002
طاهر اونی کۉریب جاییده قاتیب قالدی. رابعه هم زینهپایه آلدیده تۉختهدی، کۉزلرینی چقچهیتیریب، قۉرقوو ارهلش شیویرلهدی: - سیز طاهر آ غهم نینگ ارواحیسیز! - مېن تیریکمېن، رابعه!,طاهر اونی کۉریب جاییده قاتیب قالدی رابعه هم زینهپایه آلدیده تۉختهدی کۉزلرینی چقچهیتیریب قۉرقوو ارهلش شیویرلهدی سیز طاهر آ غهم نینگ ارواحیسیز مېن تیریکمېن رابعه,sequential,3,3,"[""طاهر اونی کۉریب جاییده قاتیب قالدی."", ""رابعه هم زینهپایه آلدیده تۉختهدی، کۉزلرینی چقچهیتیریب، قۉرقوو ارهلش شیویرلهدی: - سیز طاهر آ غهم نینگ ارواحیسیز!"", ""- مېن تیریکمېن، رابعه!""]","[""طاهر اونی کۉریب جاییده قاتیب قالدی."", ""رابعه هم زینهپایه آلدیده تۉختهدی، کۉزلرینی چقچهیتیریب، قۉرقوو ارهلش شیویرلهدی: - سیز طاهر آ غهم نینگ ارواحیسیز!"", ""- مېن تیریکمېن، رابعه!""]","[true, true, true]",طاهر اونی کۉریب جاییده قاتیب قالدی رابعه هم زینهپایه آلدیده تۉختهدی کۉزلرینی چقچهیتیریب قۉرقوو ارهلش شیویرلهدی سیز طاهر آ غهم نینگ ارواحیسیز مېن تیریکمېن رابعه,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,000100001000001000000100000100000200000100100000000100000010000000100000000100000000001000000100000100000000010001000010100010000100000000020001000000001000002
سېنی آلتی ییلدن بېری ایزلب یوریبمېن! اونینگ چکامنینی، قیلیچینی، قۉللرینی بیر۔بیر اوشلب کۉردی.,سېنی آلتی ییلدن بېری ایزلب یوریبمېن اونینگ چکامنینی قیلیچینی قۉللرینی بیر بیر اوشلب کۉردی,sequential,2,2,"[""سېنی آلتی ییلدن بېری ایزلب یوریبمېن!"", ""اونینگ چکامنینی، قیلیچینی، قۉللرینی بیر۔بیر اوشلب کۉردی.""]","[""سېنی آلتی ییلدن بېری ایزلب یوریبمېن!"", ""اونینگ چکامنینی، قیلیچینی، قۉللرینی بیر۔بیر اوشلب کۉردی.""]","[true, true]",سېنی آلتی ییلدن بېری ایزلب یوریبمېن اونینگ چکامنینی قیلیچینی قۉللرینی بیر بیر اوشلب کۉردی,0 0 0 0 0 1 0 0 0 0 0 0 0 1,00010000100000100001000001000000002000000100000000100000000100000000100010001000001000002
طاهر اونی یېلکهسیدن قوچیب بغریگه باسگن اېدی، رابعه اونینگ ارواح اېمسلیگیگه اېندی ایشانیب، ییغلب یوباردی: - تیریک! تیریک! خداگه شکر، تیریک!,طاهر اونی یېلکهسیدن قوچیب بغریگه باسگن اېدی رابعه اونینگ ارواح اېمسلیگیگه اېندی ایشانیب ییغلب یوباردی تیریک تیریک خداگه شکر تیریک,sequential,3,3,"[""طاهر اونی یېلکهسیدن قوچیب بغریگه باسگن اېدی، رابعه اونینگ ارواح اېمسلیگیگه اېندی ایشانیب، ییغلب یوباردی: - تیریک!"", ""تیریک!"", ""خداگه شکر، تیریک!""]","[""طاهر اونی یېلکهسیدن قوچیب بغریگه باسگن اېدی، رابعه اونینگ ارواح اېمسلیگیگه اېندی ایشانیب، ییغلب یوباردی: - تیریک!"", ""تیریک!"", ""خداگه شکر، تیریک!""]","[true, true, true]",طاهر اونی یېلکهسیدن قوچیب بغریگه باسگن اېدی رابعه اونینگ ارواح اېمسلیگیگه اېندی ایشانیب ییغلب یوباردی تیریک تیریک خداگه شکر تیریک,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1,000100001000000000100000100000010000010000100000100000010000010000000000100000100000001000001000000010000020000020000010001000002
طاهر اونینگ رسیق اطلس کۉیلگی اوستیدن یېلکهسینی سیلب: - رابعهم، جانیم! - خیریت، اۉزینگ هم تیریک اېکنسېن! مېن سېنی آلتی ییل ایزلهدیم، قهیېرلرده یوردینگ؟ نیمه بۉلدی؟ رابعه فاضل ترخان نینگ یېتّینچی خاتینی بۉلیب اۉتکزگن ییللرینی اېسلهدی۔یو، بیردن آرقهگه سیلتهنیب، طاهرنینگ قۉللریدن یولقینیب چیقدی: - مېنی قوچمنگ، طاهر آغه!,طاهر اونینگ رسیق اطلس کۉیلگی اوستیدن یېلکهسینی سیلب رابعهم جانیم خیریت اۉزینگ هم تیریک اېکنسېن مېن سېنی آلتی ییل ایزلهدیم قهیېرلرده یوردینگ نیمه بۉلدی رابعه فاضل ترخان نینگ یېتینچی خاتینی بۉلیب اۉتکزگن ییللرینی اېسلهدی یو بیردن آرقهگه سیلتهنیب طاهرنینگ قۉللریدن یولقینیب چیقدی مېنی قوچمنگ طاهر آغه,sequential,3,3,"[""طاهر اونینگ رسیق اطلس کۉیلگی اوستیدن یېلکهسینی سیلب: - رابعهم، جانیم!"", ""- خیریت، اۉزینگ هم تیریک اېکنسېن!"", ""مېن سېنی آلتی ییل ایزلهدیم، قهیېرلرده یوردینگ؟ نیمه بۉلدی؟ رابعه فاضل ترخان نینگ یېتّینچی خاتینی بۉلیب اۉتکزگن ییللرینی اېسلهدی۔یو، بیردن آرقهگه سیلتهنیب، طاهرنینگ قۉللریدن یولقینیب چیقدی: - مېنی قوچمنگ، طاهر آغه!""]","[""طاهر اونینگ رسیق اطلس کۉیلگی اوستیدن یېلکهسینی سیلب: - رابعهم، جانیم!"", ""- خیریت، اۉزینگ هم تیریک اېکنسېن!"", ""مېن سېنی آلتی ییل ایزلهدیم، قهیېرلرده یوردینگ؟ نیمه بۉلدی؟ رابعه فاضل ترخان نینگ یېتّینچی خاتینی بۉلیب اۉتکزگن ییللرینی اېسلهدی۔یو، بیردن آرقهگه سیلتهنیب، طاهرنینگ قۉللریدن یولقینیب چیقدی: - مېنی قوچمنگ، طاهر آغه!""]","[true, true, true]",طاهر اونینگ رسیق اطلس کۉیلگی اوستیدن یېلکهسینی سیلب رابعهم جانیم خیریت اۉزینگ هم تیریک اېکنسېن مېن سېنی آلتی ییل ایزلهدیم قهیېرلرده یوردینگ نیمه بۉلدی رابعه فاضل ترخان نینگ یېتینچی خاتینی بۉلیب اۉتکزگن ییللرینی اېسلهدی یو بیردن آرقهگه سیلتهنیب طاهرنینگ قۉللریدن یولقینیب چیقدی مېنی قوچمنگ طاهر آغه,0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,000100000010000100001000000100000001000000000100001000000100000200000100000010010000010000000200010000100001000100000000100000000010000000100001000001000001000010000010000100000001000000100000100000001000000001000000010010000010000001000000001000000001000000001000000001000001000010000001000010002
مېن سیزگه مناسب اېمسمېن! رابعه امللی کۉزلری بیلن ایوانده یاتگن اۉلیککه قرهب قۉیدی.,مېن سیزگه مناسب اېمسمېن رابعه امللی کۉزلری بیلن ایوانده یاتگن اۉلیککه قرهب قۉیدی,sequential,2,2,"[""مېن سیزگه مناسب اېمسمېن!"", ""رابعه امللی کۉزلری بیلن ایوانده یاتگن اۉلیککه قرهب قۉیدی.""]","[""مېن سیزگه مناسب اېمسمېن!"", ""رابعه امللی کۉزلری بیلن ایوانده یاتگن اۉلیککه قرهب قۉیدی.""]","[true, true]",مېن سیزگه مناسب اېمسمېن رابعه امللی کۉزلری بیلن ایوانده یاتگن اۉلیککه قرهب قۉیدی,0 0 0 1 0 0 0 0 0 0 0 0 1,00100000100000100000002000001000001000000100001000000010000010000000100001000002
فاضل ترخان تورکستان نینگ ی کېین بېش۔اۉن کون تورر۔تورمس، سودا ایشی بیلن بخاراگه جۉنهدی، او یېردن باشقه بیر کۉهلیک قیز نی آلیب، کېین اۉشه بیلن بۉلیب کېتدی. رابعه آلتی ییلدن بېری اونینگ حرمیده بېوهدهی یشهیدی. اونینگ بۉینیدهگی مرجانلری، ساچیگه تقیلگن چیرایلی کوموش چاچپاپوکلری، اېگنیدهگی اطلس کۉیلگی -همهسی اۉشه بای سوداگرنینگ پولیگه کېلگن.,فاضل ترخان تورکستان نینگ ی کېین بېش اۉن کون تورر تورمس سودا ایشی بیلن بخاراگه جۉنهدی او یېردن باشقه بیر کۉهلیک قیز نی آلیب کېین اۉشه بیلن بۉلیب کېتدی رابعه آلتی ییلدن بېری اونینگ حرمیده بېوهدهی یشهیدی اونینگ بۉینیدهگی مرجانلری ساچیگه تقیلگن چیرایلی کوموش چاچپاپوکلری اېگنیدهگی اطلس کۉیلگی همهسی اۉشه بای سوداگرنینگ پولیگه کېلگن,sequential,3,3,"[""فاضل ترخان تورکستان نینگ ی کېین بېش۔اۉن کون تورر۔تورمس، سودا ایشی بیلن بخاراگه جۉنهدی، او یېردن باشقه بیر کۉهلیک قیز نی آلیب، کېین اۉشه بیلن بۉلیب کېتدی."", ""رابعه آلتی ییلدن بېری اونینگ حرمیده بېوهدهی یشهیدی."", ""اونینگ بۉینیدهگی مرجانلری، ساچیگه تقیلگن چیرایلی کوموش چاچپاپوکلری، اېگنیدهگی اطلس کۉیلگی -همهسی اۉشه بای سوداگرنینگ پولیگه کېلگن.""]","[""فاضل ترخان تورکستان نینگ ی کېین بېش۔اۉن کون تورر۔تورمس، سودا ایشی بیلن بخاراگه جۉنهدی، او یېردن باشقه بیر کۉهلیک قیز نی آلیب، کېین اۉشه بیلن بۉلیب کېتدی."", ""رابعه آلتی ییلدن بېری اونینگ حرمیده بېوهدهی یشهیدی."", ""اونینگ بۉینیدهگی مرجانلری، ساچیگه تقیلگن چیرایلی کوموش چاچپاپوکلری، اېگنیدهگی اطلس کۉیلگی -همهسی اۉشه بای سوداگرنینگ پولیگه کېلگن.""]","[true, true, true]",فاضل ترخان تورکستان نینگ ی کېین بېش اۉن کون تورر تورمس سودا ایشی بیلن بخاراگه جۉنهدی او یېردن باشقه بیر کۉهلیک قیز نی آلیب کېین اۉشه بیلن بۉلیب کېتدی رابعه آلتی ییلدن بېری اونینگ حرمیده بېوهدهی یشهیدی اونینگ بۉینیدهگی مرجانلری ساچیگه تقیلگن چیرایلی کوموش چاچپاپوکلری اېگنیدهگی اطلس کۉیلگی همهسی اۉشه بای سوداگرنینگ پولیگه کېلگن,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,000100000100000000100001010000100010001000100001000001000010000100001000000010000001001000001000001000100000010001001000010000100001000010000010000020000010000100000100001000000100000010000000100000020000001000000000100000000100000010000001000000010000010000000000010000000001000010000001000001000010001000000000010000001000002
-رابعه، راستینی ایت، سېن اېرینگگه... - مېنی پولگه ساتدیلر!,رابعه راستینی ایت سېن اېرینگگه مېنی پولگه ساتدیلر,sequential,2,2,"[""-رابعه، راستینی ایت، سېن اېرینگگه..."", ""- مېنی پولگه ساتدیلر!""]","[""-رابعه، راستینی ایت، سېن اېرینگگه..."", ""- مېنی پولگه ساتدیلر!""]","[true, true]",رابعه راستینی ایت سېن اېرینگگه مېنی پولگه ساتدیلر,0 0 0 0 1 0 0 1,0000100000001000100010000000020000100000100000002
زۉرلب نکاحلهدیلر! - بۉملهسهنېچون مونچه کویونیب ییغلهیسېن! - مېن سیزگه وفا قیالملهگنیمگه کویونهمېن! سیزنی اونوتگنیم یۉق اېدی، طاهر جان آغه!,زۉرلب نکاحلهدیلر بۉملهسهنېچون مونچه کویونیب ییغلهیسېن مېن سیزگه وفا قیالملهگنیمگه کویونهمېن سیزنی اونوتگنیم یۉق اېدی طاهر جان آغه,sequential,4,4,"[""زۉرلب نکاحلهدیلر!"", ""- بۉملهسهنېچون مونچه کویونیب ییغلهیسېن!"", ""- مېن سیزگه وفا قیالملهگنیمگه کویونهمېن!"", ""سیزنی اونوتگنیم یۉق اېدی، طاهر جان آغه!""]","[""زۉرلب نکاحلهدیلر!"", ""- بۉملهسهنېچون مونچه کویونیب ییغلهیسېن!"", ""- مېن سیزگه وفا قیالملهگنیمگه کویونهمېن!"", ""سیزنی اونوتگنیم یۉق اېدی، طاهر جان آغه!""]","[true, true, true, true]",زۉرلب نکاحلهدیلر بۉملهسهنېچون مونچه کویونیب ییغلهیسېن مېن سیزگه وفا قیالملهگنیمگه کویونهمېن سیزنی اونوتگنیم یۉق اېدی طاهر جان آغه,0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1,000010000000000200000000000010000010000000100000000020001000001000100000000000001000000000200000100000000010001000010000100010002
منه، تېپهمیزده خدا توریپتی! بو سوداگر سیزنینگتیرناغینگیزگه هم ارزیمس اېدی! لېکن مېنی اونگه قول قیلیب بېردیلر.,منه تېپهمیزده خدا توریپتی بو سوداگر سیزنینگتیرناغینگیزگه هم ارزیمس اېدی لېکن مېنی اونگه قول قیلیب بېردیلر,sequential,3,3,"[""منه، تېپهمیزده خدا توریپتی!"", ""بو سوداگر سیزنینگتیرناغینگیزگه هم ارزیمس اېدی!"", ""لېکن مېنی اونگه قول قیلیب بېردیلر.""]","[""منه، تېپهمیزده خدا توریپتی!"", ""بو سوداگر سیزنینگتیرناغینگیزگه هم ارزیمس اېدی!"", ""لېکن مېنی اونگه قول قیلیب بېردیلر.""]","[true, true, true]",منه تېپهمیزده خدا توریپتی بو سوداگر سیزنینگتیرناغینگیزگه هم ارزیمس اېدی لېکن مېنی اونگه قول قیلیب بېردیلر,0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1,001000000000100010000000200100000010000000000000000000010010000001000020000100001000001000100000100000002
اصلیده بېوه... 161 بیر وقتلر گرلدهی قیز بۉلگن رابعه نینگ اۉزینی »خاتین«، »بېوه«، دېب اتشی طاهرنینگ بارلیغینی ققشهتیب یوباردی. رابعه دهی قیزگه آلتی ییلدن بېری »ایت تېگمهی« یوریشی ممکن اېمسلیگینی او ایلگری هم خیالیده کۉپ اۉتکزردی. »فقط تیریک تاپسم بس!« دېب قیدیرردی. بیراق رابعهنی تاپگنی بیلن یاشلیکدهگی بېغبار، سا ّده بختی اېندی ابدي تاپیلمسلیگینی او ایلگری بیلمس اېدی.,اصلیده بېوه 161 بیر وقتلر گرلدهی قیز بۉلگن رابعه نینگ اۉزینی خاتین بېوه دېب اتشی طاهرنینگ بارلیغینی ققشهتیب یوباردی رابعه دهی قیزگه آلتی ییلدن بېری ایت تېگمهی یوریشی ممکن اېمسلیگینی او ایلگری هم خیالیده کۉپ اۉتکزردی فقط تیریک تاپسم بس دېب قیدیرردی بیراق رابعهنی تاپگنی بیلن یاشلیکدهگی بېغبار سا ده بختی اېندی ابدي تاپیلمسلیگینی او ایلگری بیلمس اېدی,sequential,4,4,"[""اصلیده بېوه..."", ""161 بیر وقتلر گرلدهی قیز بۉلگن رابعه نینگ اۉزینی »خاتین«، »بېوه«، دېب اتشی طاهرنینگ بارلیغینی ققشهتیب یوباردی."", ""رابعه دهی قیزگه آلتی ییلدن بېری »ایت تېگمهی« یوریشی ممکن اېمسلیگینی او ایلگری هم خیالیده کۉپ اۉتکزردی. »فقط تیریک تاپسم بس!« دېب قیدیرردی."", ""بیراق رابعهنی تاپگنی بیلن یاشلیکدهگی بېغبار، سا ّده بختی اېندی ابدي تاپیلمسلیگینی او ایلگری بیلمس اېدی.""]","[""اصلیده بېوه..."", ""161 بیر وقتلر گرلدهی قیز بۉلگن رابعه نینگ اۉزینی »خاتین«، »بېوه«، دېب اتشی طاهرنینگ بارلیغینی ققشهتیب یوباردی."", ""رابعه دهی قیزگه آلتی ییلدن بېری »ایت تېگمهی« یوریشی ممکن اېمسلیگینی او ایلگری هم خیالیده کۉپ اۉتکزردی. »فقط تیریک تاپسم بس!« دېب قیدیرردی."", ""بیراق رابعهنی تاپگنی بیلن یاشلیکدهگی بېغبار، سا ّده بختی اېندی ابدي تاپیلمسلیگینی او ایلگری بیلمس اېدی.""]","[true, true, true, true]",اصلیده بېوه 161 بیر وقتلر گرلدهی قیز بۉلگن رابعه نینگ اۉزینی خاتین بېوه دېب اتشی طاهرنینگ بارلیغینی ققشهتیب یوباردی رابعه دهی قیزگه آلتی ییلدن بېری ایت تېگمهی یوریشی ممکن اېمسلیگینی او ایلگری هم خیالیده کۉپ اۉتکزردی فقط تیریک تاپسم بس دېب قیدیرردی بیراق رابعهنی تاپگنی بیلن یاشلیکدهگی بېغبار سا ده بختی اېندی ابدي تاپیلمسلیگینی او ایلگری بیلمس اېدی,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,000001000020001000100000100000010001000001000001000010000001000001000010001000010000000010000000001000000010000000200000100010000010000100000100001000100000010000001000010000000000100100000010010000000100010000000010001000001000001001000100000000200000100000001000000100001000000000010000001001001000010000010000100000000000001001000000100000100002
بدندهگی آغیر جراحت توزهلگنده هم چندیغی عمرباد قالگنیدهی، باشلریگه توشگن سودانینگ دهشتلی ایزی کۉنگیللریدن آسانلیکچه کېتمسلیگینی طاهر اېندی سېزماقده اېدی.رابعههم ابدي یۉقالگن بېغبار یاشلیگیگه کویونیب ییغلهماقده اېدی. -رابعه، بس! امان قالگنیمیزگه شکر قیل، قنی، یور! قیز ییغیدن تۉختب: - قهیاققه؟ -دېدی.,بدندهگی آغیر جراحت توزهلگنده هم چندیغی عمرباد قالگنیدهی باشلریگه توشگن سودانینگ دهشتلی ایزی کۉنگیللریدن آسانلیکچه کېتمسلیگینی طاهر اېندی سېزماقده اېدی رابعههم ابدي یۉقالگن بېغبار یاشلیگیگه کویونیب ییغلهماقده اېدی رابعه بس امان قالگنیمیزگه شکر قیل قنی یور قیز ییغیدن تۉختب قهیاققه دېدی,sequential,4,4,"[""بدندهگی آغیر جراحت توزهلگنده هم چندیغی عمرباد قالگنیدهی، باشلریگه توشگن سودانینگ دهشتلی ایزی کۉنگیللریدن آسانلیکچه کېتمسلیگینی طاهر اېندی سېزماقده اېدی.رابعههم ابدي یۉقالگن بېغبار یاشلیگیگه کویونیب ییغلهماقده اېدی."", ""-رابعه، بس!"", ""امان قالگنیمیزگه شکر قیل، قنی، یور!"", ""قیز ییغیدن تۉختب: - قهیاققه؟ -دېدی.""]","[""بدندهگی آغیر جراحت توزهلگنده هم چندیغی عمرباد قالگنیدهی، باشلریگه توشگن سودانینگ دهشتلی ایزی کۉنگیللریدن آسانلیکچه کېتمسلیگینی طاهر اېندی سېزماقده اېدی.رابعههم ابدي یۉقالگن بېغبار یاشلیگیگه کویونیب ییغلهماقده اېدی."", ""-رابعه، بس!"", ""امان قالگنیمیزگه شکر قیل، قنی، یور!"", ""قیز ییغیدن تۉختب: - قهیاققه؟ -دېدی.""]","[true, true, true, true]",بدندهگی آغیر جراحت توزهلگنده هم چندیغی عمرباد قالگنیدهی باشلریگه توشگن سودانینگ دهشتلی ایزی کۉنگیللریدن آسانلیکچه کېتمسلیگینی طاهر اېندی سېزماقده اېدی رابعههم ابدي یۉقالگن بېغبار یاشلیگیگه کویونیب ییغلهماقده اېدی رابعه بس امان قالگنیمیزگه شکر قیل قنی یور قیز ییغیدن تۉختب قهیاققه دېدی,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1,00000010000100000100000000010010000001000000100000000010000000010000010000000010000001000010000000000010000000001000000000001000010000010000000010000100000001000010000000100000010000000001000000010000000000100002000001002000010000000000010001000100010002000100000010000010000000100002
- سېن حلی هم مېنینگ قلّیغیمسېن. یور، تېزراق! -هېچ نرسهآملهیسېن.همهسینی اونوت.,سېن حلی هم مېنینگ قلیغیمسېن یور تېزراق هېچ نرسهآملهیسېن همهسینی اونوت,sequential,3,3,"[""- سېن حلی هم مېنینگ قلّیغیمسېن."", ""یور، تېزراق!"", ""-هېچ نرسهآملهیسېن.همهسینی اونوت.""]","[""- سېن حلی هم مېنینگ قلّیغیمسېن."", ""یور، تېزراق!"", ""-هېچ نرسهآملهیسېن.همهسینی اونوت.""]","[true, true, true]",سېن حلی هم مېنینگ قلیغیمسېن یور تېزراق هېچ نرسهآملهیسېن همهسینی اونوت,0 0 0 0 1 0 1 0 0 0 1,001000100100000010000000002000100000020001000000000000100000001000002
ایکّینچی یادیمگه سامله! - یاپینچیغیم یۉق.,ایکینچی یادیمگه سامله یاپینچیغیم یۉق,sequential,2,2,"[""ایکّینچی یادیمگه سامله!"", ""- یاپینچیغیم یۉق.""]","[""ایکّینچی یادیمگه سامله!"", ""- یاپینچیغیم یۉق.""]","[true, true]",ایکینچی یادیمگه سامله یاپینچیغیم یۉق,0 0 1 0 1,000000100000001000002000000000010002
طاهر چکامنینی یېچیب بېردی. کېین طاهر قاسم بېککه عرض قیلیب، فقیه ابولیث محلهسیدن شیباين خان نینگ آدملری تشلب کېتگن درستگینه بیر هاولینی آلدی.رابعهنینگع ّدهسی اۉتگچ، محلهامامی اونی طاهر گه نکاحلب بېردی. کېچهسی یاققن قلین قار هر بیر تامنی، دېوارنی، هر بیر درخت و گنبذنی میین آق حاشیهبیلن بېزهب چیققن.,طاهر چکامنینی یېچیب بېردی کېین طاهر قاسم بېککه عرض قیلیب فقیه ابولیث محلهسیدن شیباين خان نینگ آدملری تشلب کېتگن درستگینه بیر هاولینی آلدی رابعهنینگع دهسی اۉتگچ محلهامامی اونی طاهر گه نکاحلب بېردی کېچهسی یاققن قلین قار هر بیر تامنی دېوارنی هر بیر درخت و گنبذنی میین آق حاشیهبیلن بېزهب چیققن,sequential,3,3,"[""طاهر چکامنینی یېچیب بېردی."", ""کېین طاهر قاسم بېککه عرض قیلیب، فقیه ابولیث محلهسیدن شیباين خان نینگ آدملری تشلب کېتگن درستگینه بیر هاولینی آلدی.رابعهنینگع ّدهسی اۉتگچ، محلهامامی اونی طاهر گه نکاحلب بېردی."", ""کېچهسی یاققن قلین قار هر بیر تامنی، دېوارنی، هر بیر درخت و گنبذنی میین آق حاشیهبیلن بېزهب چیققن.""]","[""طاهر چکامنینی یېچیب بېردی."", ""کېین طاهر قاسم بېککه عرض قیلیب، فقیه ابولیث محلهسیدن شیباين خان نینگ آدملری تشلب کېتگن درستگینه بیر هاولینی آلدی.رابعهنینگع ّدهسی اۉتگچ، محلهامامی اونی طاهر گه نکاحلب بېردی."", ""کېچهسی یاققن قلین قار هر بیر تامنی، دېوارنی، هر بیر درخت و گنبذنی میین آق حاشیهبیلن بېزهب چیققن.""]","[true, true, true]",طاهر چکامنینی یېچیب بېردی کېین طاهر قاسم بېککه عرض قیلیب فقیه ابولیث محلهسیدن شیباين خان نینگ آدملری تشلب کېتگن درستگینه بیر هاولینی آلدی رابعهنینگع دهسی اۉتگچ محلهامامی اونی طاهر گه نکاحلب بېردی کېچهسی یاققن قلین قار هر بیر تامنی دېوارنی هر بیر درخت و گنبذنی میین آق حاشیهبیلن بېزهب چیققن,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,0001000000001000001000002000010000100001000001000100000100001000000100000000100000010001000010000001000010000010000000010001000000010000100000000001000010000010000000001000010000100100000010000020000001000001000010001001000100000100000001001000100001010000001000010010000000001000001000002
